province_name,district_id,district_name,school_id,course_id,book_id,book_type,Book_title,mic_time_minutes,correct_word_count,total_word_count,incorrect_word_count,correct_with_assistance_word_count,book_completion_percentage,total_question_count,corrcet_answer_count,incorrect_answer_count,correct_answer_percentage
Punjab,39,Toba Tek Singh,24,5,8,Poem,The Rain and the Wind,27,6362,11681,5319,6362,0.46,187,98,89,0.5240641711229946
Punjab,8,Faisalabad,60,4,7,Non Fiction,Playground,8,7144,11580,4436,7144,0.57,277,140,137,0.5054151624548736
Punjab,22,Mianwali,62,1,8,Poem,The Rain and the Wind,25,3190,5552,2362,3190,0.64,207,148,59,0.714975845410628
Punjab,41,Wazirabad,64,3,2,Non Fiction,I like Cricket,24,7825,11051,3226,7825,0.81,271,193,78,0.7121771217712177
Punjab,3,Bahawalpur,88,1,1,Fiction,My Red Bull,19,7740,13640,5900,7740,0.49,231,64,167,0.27705627705627706
Punjab,16,Khushab,16,4,5,Fiction,Billty to the Rescue,17,4828,7347,2519,4828,0.83,273,100,173,0.3663003663003663
Punjab,21,Mandi Bahauddin,20,5,7,Non Fiction,Playground,13,6664,8870,2206,6664,0.28,212,24,188,0.11320754716981132
Punjab,11,Hafizabad,34,1,2,Non Fiction,I like Cricket,7,4834,8791,3957,4834,0.86,204,83,121,0.4068627450980392
Punjab,15,Khanewal,35,2,6,Fiction,One Big Cake,29,5387,9421,4034,5387,0.57,215,188,27,0.8744186046511628
Punjab,24,Murree,80,1,1,Fiction,My Red Bull,21,5025,8876,3851,5025,0.52,332,191,141,0.5753012048192772
Punjab,33,Sahiwal,90,2,5,Fiction,Billty to the Rescue,25,6500,11414,4914,6500,0.22,301,147,154,0.4883720930232558
Punjab,34,Sargodha,14,2,5,Fiction,Billty to the Rescue,39,3444,7647,4203,3444,0.46,240,89,151,0.37083333333333335
Punjab,29,Pakpattan,19,5,8,Poem,The Rain and the Wind,35,7245,12331,5086,7245,0.56,287,143,144,0.49825783972125437
Punjab,26,Nankana Sahib,23,4,2,Non Fiction,I like Cricket,29,7554,10539,2985,7554,0.33,191,34,157,0.17801047120418848
Punjab,38,Taunsa,50,1,3,Poem,Mia and Milan,27,6094,11534,5440,6094,0.49,223,20,203,0.08968609865470852
Punjab,35,Sheikhupura,63,5,1,Fiction,My Red Bull,38,5013,7551,2538,5013,0.67,321,105,216,0.32710280373831774
Punjab,35,Sheikhupura,95,3,8,Poem,The Rain and the Wind,31,3066,8588,5522,3066,0.53,214,101,113,0.4719626168224299
Punjab,33,Sahiwal,52,4,9,Decodable,Who takes the Train,29,4740,8081,3341,4740,0.42,185,96,89,0.518918918918919
Punjab,16,Khushab,70,5,5,Fiction,Billty to the Rescue,13,7326,11428,4102,7326,0.52,212,33,179,0.15566037735849056
Punjab,5,Chakwal,75,3,4,Decodable,Lara the Ladybug,38,3135,5805,2670,3135,0.41,299,112,187,0.3745819397993311
Punjab,14,Kasur,26,2,2,Non Fiction,I like Cricket,11,7451,13226,5775,7451,0.35,332,40,292,0.12048192771084337
Punjab,6,Chiniot,44,3,3,Poem,Mia and Milan,17,5368,9321,3953,5368,0.82,239,207,32,0.8661087866108786
Punjab,20,Lodhran,71,4,9,Decodable,Who takes the Train,25,3864,7090,3226,3864,0.73,302,101,201,0.3344370860927152
Punjab,17,Kot Addu,82,2,10,Fiction,Where is Lulu,11,6433,11629,5196,6433,0.78,317,237,80,0.7476340694006309
Punjab,6,Chiniot,86,2,7,Non Fiction,Playground,8,6120,8854,2734,6120,0.78,282,195,87,0.6914893617021277
Punjab,7,Dera Ghazi Khan,39,5,2,Non Fiction,I like Cricket,22,3856,7384,3528,3856,0.34,284,276,8,0.971830985915493
Punjab,15,Khanewal,98,5,5,Fiction,Billty to the Rescue,29,6127,9832,3705,6127,0.84,328,208,120,0.6341463414634146
Punjab,9,Gujranwala,4,2,10,Fiction,Where is Lulu,32,3713,5802,2089,3713,0.34,194,173,21,0.8917525773195877
Punjab,14,Kasur,22,3,4,Decodable,Lara the Ladybug,34,6036,8233,2197,6036,0.27,293,16,277,0.05460750853242321
Punjab,39,Toba Tek Singh,57,3,2,Non Fiction,I like Cricket,9,3227,6632,3405,3227,0.87,312,88,224,0.28205128205128205
Punjab,17,Kot Addu,65,5,2,Non Fiction,I like Cricket,20,4802,7427,2625,4802,0.28,284,142,142,0.5
Punjab,41,Wazirabad,68,1,1,Fiction,My Red Bull,9,5651,7980,2329,5651,0.61,206,191,15,0.9271844660194175
Punjab,4,Bhakkar,25,3,7,Non Fiction,Playground,31,6065,9955,3890,6065,0.51,304,275,29,0.9046052631578947
Punjab,5,Chakwal,43,1,4,Decodable,Lara the Ladybug,18,5426,8159,2733,5426,0.27,252,162,90,0.6428571428571429
Punjab,41,Wazirabad,100,3,3,Poem,Mia and Milan,20,7114,12784,5670,7114,0.44,301,225,76,0.7475083056478405
Punjab,38,Taunsa,2,4,4,Decodable,Lara the Ladybug,18,6462,8876,2414,6462,0.49,263,1,262,0.0038022813688212928
Punjab,37,Talagang,51,3,6,Fiction,One Big Cake,29,7541,10250,2709,7541,0.23,337,58,279,0.17210682492581603
Punjab,29,Pakpattan,6,3,6,Fiction,One Big Cake,16,7150,13053,5903,7150,0.24,352,0,352,0.0
Punjab,41,Wazirabad,10,3,2,Non Fiction,I like Cricket,17,6081,11480,5399,6081,0.61,189,120,69,0.6349206349206349
Punjab,19,Layyah,33,4,9,Decodable,Who takes the Train,24,6785,10110,3325,6785,0.57,220,156,64,0.7090909090909091
Punjab,30,Rahim Yar Khan,38,5,2,Non Fiction,I like Cricket,20,6246,10508,4262,6246,0.78,194,176,18,0.9072164948453608
Punjab,20,Lodhran,45,4,9,Decodable,Who takes the Train,33,5900,10964,5064,5900,0.83,228,172,56,0.7543859649122807
Punjab,4,Bhakkar,94,2,9,Decodable,Who takes the Train,7,5736,8325,2589,5736,0.3,245,215,30,0.8775510204081632
Punjab,26,Nankana Sahib,1,5,10,Fiction,Where is Lulu,40,7693,13184,5491,7693,0.51,274,45,229,0.16423357664233576
Punjab,12,Jhang,74,5,2,Non Fiction,I like Cricket,40,5482,11225,5743,5482,0.47,255,31,224,0.12156862745098039
Punjab,39,Toba Tek Singh,77,4,7,Non Fiction,Playground,23,7982,10115,2133,7982,0.27,187,7,180,0.0374331550802139
Punjab,27,Narowal,78,4,2,Non Fiction,I like Cricket,28,3993,6418,2425,3993,0.74,206,134,72,0.6504854368932039
Punjab,23,Multan,93,1,4,Decodable,Lara the Ladybug,16,5983,10186,4203,5983,0.43,233,207,26,0.8884120171673819
Punjab,31,Rajanpur,67,2,10,Fiction,Where is Lulu,37,7475,10046,2571,7475,0.28,229,135,94,0.5895196506550219
Punjab,12,Jhang,81,4,9,Decodable,Who takes the Train,32,3787,6288,2501,3787,0.3,331,103,228,0.311178247734139
Punjab,34,Sargodha,7,4,6,Fiction,One Big Cake,35,7342,12688,5346,7342,0.36,268,6,262,0.022388059701492536
Punjab,2,Bahawalnagar,15,1,8,Poem,The Rain and the Wind,31,5196,8214,3018,5196,0.63,324,127,197,0.39197530864197533
Punjab,41,Wazirabad,72,5,8,Poem,The Rain and the Wind,24,3544,7293,3749,3544,0.31,214,44,170,0.205607476635514
Punjab,1,Attock,99,4,3,Poem,Mia and Milan,12,7011,11320,4309,7011,0.58,252,169,83,0.6706349206349206
Punjab,26,Nankana Sahib,37,1,4,Decodable,Lara the Ladybug,8,6928,9767,2839,6928,0.78,275,219,56,0.7963636363636364
Punjab,6,Chiniot,58,4,8,Poem,The Rain and the Wind,11,7738,9886,2148,7738,0.76,344,329,15,0.9563953488372093
Punjab,12,Jhang,41,5,2,Non Fiction,I like Cricket,12,4631,7964,3333,4631,0.4,337,181,156,0.5370919881305638
Punjab,30,Rahim Yar Khan,61,5,8,Poem,The Rain and the Wind,16,7287,10437,3150,7287,0.69,309,46,263,0.1488673139158576
Punjab,21,Mandi Bahauddin,11,3,5,Fiction,Billty to the Rescue,28,5729,10753,5024,5729,0.37,282,241,41,0.8546099290780141
Punjab,4,Bhakkar,21,4,4,Decodable,Lara the Ladybug,40,5397,10006,4609,5397,0.51,220,47,173,0.21363636363636362
Punjab,36,Sialkot,42,5,8,Poem,The Rain and the Wind,10,5093,7913,2820,5093,0.4,270,186,84,0.6888888888888889
Punjab,4,Bhakkar,46,1,5,Fiction,Billty to the Rescue,40,4038,8466,4428,4038,0.86,344,5,339,0.014534883720930232
Punjab,35,Sheikhupura,73,4,9,Decodable,Who takes the Train,26,4227,6262,2035,4227,0.29,347,61,286,0.17579250720461095
Punjab,29,Pakpattan,92,5,3,Poem,Mia and Milan,18,3074,8724,5650,3074,0.22,204,24,180,0.11764705882352941
Punjab,7,Dera Ghazi Khan,87,4,5,Fiction,Billty to the Rescue,22,6883,11188,4305,6883,0.83,315,183,132,0.580952380952381
Punjab,3,Bahawalpur,91,2,7,Non Fiction,Playground,23,4509,6930,2421,4509,0.75,296,206,90,0.6959459459459459
Punjab,4,Bhakkar,55,1,5,Fiction,Billty to the Rescue,13,5304,9413,4109,5304,0.4,298,273,25,0.9161073825503355
Punjab,5,Chakwal,97,1,7,Non Fiction,Playground,10,6879,9541,2662,6879,0.53,266,128,138,0.48120300751879697
Punjab,20,Lodhran,5,5,5,Fiction,Billty to the Rescue,17,4447,8242,3795,4447,0.68,323,171,152,0.5294117647058824
Punjab,4,Bhakkar,8,2,2,Non Fiction,I like Cricket,10,6432,9954,3522,6432,0.75,215,16,199,0.07441860465116279
Punjab,34,Sargodha,36,4,9,Decodable,Who takes the Train,10,4862,10588,5726,4862,0.87,291,244,47,0.8384879725085911
Punjab,35,Sheikhupura,40,4,7,Non Fiction,Playground,26,4458,7843,3385,4458,0.65,307,167,140,0.5439739413680782
Punjab,3,Bahawalpur,76,1,5,Fiction,Billty to the Rescue,12,4515,10251,5736,4515,0.34,333,12,321,0.036036036036036036
Punjab,3,Bahawalpur,66,1,10,Fiction,Where is Lulu,7,4279,10072,5793,4279,0.31,207,168,39,0.8115942028985508
Punjab,1,Attock,9,3,10,Fiction,Where is Lulu,36,7263,12568,5305,7263,0.62,328,127,201,0.3871951219512195
Punjab,7,Dera Ghazi Khan,29,4,9,Decodable,Who takes the Train,39,6728,10451,3723,6728,0.65,270,251,19,0.9296296296296296
Punjab,5,Chakwal,49,1,7,Non Fiction,Playground,36,3763,9124,5361,3763,0.31,257,78,179,0.3035019455252918
Punjab,31,Rajanpur,53,3,5,Fiction,Billty to the Rescue,30,3371,6826,3455,3371,0.23,323,291,32,0.9009287925696594
Punjab,3,Bahawalpur,27,2,8,Poem,The Rain and the Wind,24,4736,9975,5239,4736,0.33,265,155,110,0.5849056603773585
Punjab,33,Sahiwal,32,5,4,Decodable,Lara the Ladybug,25,5428,8678,3250,5428,0.33,210,14,196,0.06666666666666667
Punjab,37,Talagang,59,4,4,Decodable,Lara the Ladybug,19,4302,10251,5949,4302,0.87,310,59,251,0.19032258064516128
Punjab,9,Gujranwala,28,1,3,Poem,Mia and Milan,27,6898,9954,3056,6898,0.8,294,182,112,0.6190476190476191
Punjab,13,Jhelum,30,5,5,Fiction,Billty to the Rescue,34,7076,12069,4993,7076,0.5,300,256,44,0.8533333333333334
Punjab,20,Lodhran,56,1,4,Decodable,Lara the Ladybug,29,6706,9236,2530,6706,0.35,201,179,22,0.8905472636815921
Punjab,28,Okara,79,1,2,Non Fiction,I like Cricket,7,3209,8361,5152,3209,0.55,286,60,226,0.2097902097902098
Punjab,38,Taunsa,12,1,10,Fiction,Where is Lulu,8,6191,10853,4662,6191,0.74,292,158,134,0.541095890410959
Punjab,2,Bahawalnagar,17,1,9,Decodable,Who takes the Train,25,5267,10352,5085,5267,0.83,352,300,52,0.8522727272727273
Punjab,40,Vehari,47,2,4,Decodable,Lara the Ladybug,9,7256,11311,4055,7256,0.35,294,95,199,0.3231292517006803
Punjab,26,Nankana Sahib,54,5,9,Decodable,Who takes the Train,29,7705,12417,4712,7705,0.68,207,148,59,0.714975845410628
Punjab,4,Bhakkar,96,1,9,Decodable,Who takes the Train,28,3614,6588,2974,3614,0.7,250,181,69,0.724
Punjab,13,Jhelum,48,5,4,Decodable,Lara the Ladybug,9,5358,10815,5457,5358,0.48,315,73,242,0.23174603174603176
Punjab,12,Jhang,85,2,5,Fiction,Billty to the Rescue,18,5634,11233,5599,5634,0.53,340,335,5,0.9852941176470589
Punjab,31,Rajanpur,89,2,7,Non Fiction,Playground,8,7961,11197,3236,7961,0.81,290,185,105,0.6379310344827587
Punjab,12,Jhang,31,2,5,Fiction,Billty to the Rescue,37,3790,6346,2556,3790,0.51,358,122,236,0.3407821229050279
Punjab,5,Chakwal,84,5,9,Decodable,Who takes the Train,23,3344,9215,5871,3344,0.77,271,69,202,0.25461254612546125
Punjab,5,Chakwal,13,1,10,Fiction,Where is Lulu,39,7101,11088,3987,7101,0.55,352,72,280,0.20454545454545456
Punjab,22,Mianwali,18,5,9,Decodable,Who takes the Train,24,4073,9566,5493,4073,0.22,283,28,255,0.0989399293286219
Punjab,16,Khushab,69,5,6,Fiction,One Big Cake,16,5460,8628,3168,5460,0.81,250,56,194,0.224
Punjab,28,Okara,83,4,4,Decodable,Lara the Ladybug,36,6301,9971,3670,6301,0.23,181,142,39,0.7845303867403315
Punjab,39,Toba Tek Singh,3,5,5,Fiction,Billty to the Rescue,25,6114,10094,3980,6114,0.68,312,104,208,0.3333333333333333
